question,answer
General information,"Record: consists of academic activity (program/course registration, achievement, transfer credits and academic standing) at the college.personal record:consists of biographical data and may include previous educational achievements such as secondary school records. Please ensure that the address in the registrar’s system is the correct one for mailing purposes. Contact the registrar’s office to request a personal data information change form to change your address or update other personal data on your"
General information,"Student record.financial record:consists of financial transactions with the college relating specifically to tuition and incidental fees.accuracy of the student record:the student is personally responsible for the completeness and accuracy of their student record, which is maintained by the registrar’s office. This includes mailing address, personal data and achievement. It is also the responsibility of the student to ensure that their program requirements are being met."
Who do i contact if i have an emergency or safety concern?,"If you feel unsafe or require immediate attention, contactsafety and securityfor support on campus. If you are off campus, contact emergency services by calling 911."
Where do i find information on mental health and wellness supports?,"Conestoga offerscounselling,peer supportandmedical careto assist students with mental health and wellness.for after-hours mental health support, please contactgood2talk- a free 24-hour service for ontario post-secondary students.if you are in crisison campus, contactsafety and securityfor support. If you are in crisisoff campus, contact emergency services by calling 911."
Where do i find information on sexual and gender-based violence supports?,"If you have experienced or witnessed sexual or gender-based violence and would like to discuss supports available both on and off campus, please contact thesexual and gender-based violence coordinator. They can answer questions regardingsexual assault and sexual violence policies and procedures, including your reporting options."
Who can report a student rights and responsibilities violation?,"College students, employees and members of the public may submit reports on behalf of themselves or someone else."
How and when do i report a student rights and responsibilities violation?,"If a concern continues, escalates, or informal resolution is not appropriate, you may decide to make a report to the srro. You can make a verbal report bycontacting usor use thereport formto report an incident in& writing. We will respond within two business days to arrange a time to discuss the incident and gather more information."
I have been reported for a student rights and responsibilities violation. What happens next?,"If you have received notice from the srro or safety and security of a report regarding your conduct, it is important to understand how the process works. Refer to the information onformal resolutionand thestudent rights and responsibilities procedure(pdf).contact uswith any questions."
Who do i contact if i have academic concerns?,"Each program area has a student success advisor (ssa) who is available to help you address academic issues and connect you to services. If you are unsure who your ssa is, complete theself-referral formto ask for help.for details on individual services and other important academic contacts, refer to your program handbook found under the more info tab on yourfull-time programpage."
"How do i dispute a grade, academic decision or academic integrity penalty?","Follow theacademic dispute resolution and appeal procedure(pdf). Speak with the faculty first about your concern. If your concern is still unresolved, contact the program chair to review the decision and determine the next step.if you need help navigating this process:contact your program area's student success advisor (ssa). If you are unsure who your ssa is, complete theself-referral formto ask for help, orcontactconestoga students inc., your official student association, for help with this process and"
"How do i dispute a grade, academic decision or academic integrity penalty?",Third party advocacy support.learn how to avoid and understand future academic warnings and offences through theacademic integrity website.
How do i challenge a decision or sanction assessed under the student rights and responsibilities policy?,"If you disagree with a decision or sanction assessed under the student rights and responsibilities policy thatdoes notaffectyour academic status at the college, you may submit achallenge form(pdf) to the associate vice-president of student affairs for review.appropriate grounds for submitting a challenge are personal bias/unfair treatment or new information/extenuating circumstances. Students must attach all relevant documents to support their request when they submit the form.if you disagree with a"
How do i challenge a decision or sanction assessed under the student rights and responsibilities policy?,"Decision or sanction assessed under the student rights and responsibilities policy thatdoes affectyour academic status at the college, submit a formal appeal as outlined in step 4 of theacademic dispute and appeal resolution procedure(pdf)."
Are my conversations with the srro confidential?,"It is important to understand that expectations for confidentiality depend on why you are engaging with our office.concernsif you reach out to our office with a concern, your conversation with the srro is confidential unless we have reason to believe that you are at risk of harming yourself or someone else, or if you disclose that another person is at similar risk. Excluding situations of imminent risk or harm, we will not advance your concerns without your permission.violationsif we reach out to you"
Are my conversations with the srro confidential?,"Because your conduct was reported to our office, we may disclose status reports, outcomes, and other relevant information to involved parties such as the violation reporter and any impacted areas of the college."
How does the srro protect my privacy and confidentiality?,"All records are filed in a secure electronic database. Managing these records is the responsibility of the srro under the direction of the associate vice-president, student affairs.access to these records is restricted to appropriate college staff as per the requirements and principles in the freedom of information and protection of privacy act (fippa).exceptionsare records under statutes that expressly state that they prevail over fippa."
Can i report concerns anonymously?,"We accept anonymous reports, but anonymity can limit our ability to review or address your concerns. If you do not want to disclose your identity, we will not be able to report back to you about the status or outcome of your concerns.to submit an anonymous report, you can contact us from an unknown phone number or email address without disclosing your name. We will be launching a new reporting system soon which will accept anonymous report submissions directly into our database.if you would like your"
Can i report concerns anonymously?,"Concerns or identity to remain anonymous after contacting our office, please let us know to discuss options with you."
Will student rights and responsibilities violations be visible on my permanent academic record?,Srro decisions and sanctions do not form part of a student's academic record except in cases of long-term suspension or discontinuance from the college.
Does conestoga offer remote working opportunities?,"Positions at conestoga college are governed by the applicable legislation of the province of ontario. As such, unless otherwise indicated, successful candidates will be required to conduct work within ontario and must be available to work on campus as required."
When are jobs posted?,"We post vacancies on an as-needed basis. Check the website regularly or sign up for rss feeds to receive notification of new positions. Academic competitions are posted to coincide with the academic year, usually in march or april for august hires."
There are currently no postings on the website. Can i submit my resumé anyway?,Conestoga college does not accept unsolicited resumés. Please apply for open competitions only.
I saw a conestoga posting on another site. Can i still apply?,"If it is not on our site, it is not an active competition. Some sites post without our knowledge and do not always remove the competition once the application deadline has passed."
What do you mean by “an internal candidate”?,Internal candidates for support staff positions are defined by the support staff collective agreement (article 17) as bargaining unit employees.internal candidates for academic positions are defined by the academic collective agreement (article 7.1b) as full-time and current partial-load employees or persons who have been partial-load employees within four (4) months prior to the posting.
"I am applying to a full-time support staff position. What does ""starting salary"" mean?","Successful candidates that are new to employment at conestoga college will begin at the pre-determined starting rate for a full-time support staff position as indicated in the job posting. Thereafter, employees shall progress within the pay band range in accordance with the increments outlined in the full-time support staff collective agreement."
Who should i address my cover letter to?,Address applications to: hiring manager
Can i submit my cover letter and resumé separately?,"Submit cover letters and resumés as a single file. Copy and paste your cover letter at the beginning of your resumé and save the combined document as a single file. Acceptable files are:. Doc,. Docx,. Pdf, and. Zip."
I am having a problem submitting my application. Do you have tips for uploading it?,"If you are a part-time employee, there may be an issue with your password and log in. Contact the it help desk at 519-748-5220, ext. 3444 for assistance.ensure your file is a. Doc,. Docx,. Pdf, or. Zip fileavoid special characters in the file name (i.e., hyphens, spaces, commas, numbers, etc).close the file before you upload it.save the file to your desktop so you can find it easily for uploading."
How will i know if my application has been received?,"Once you have uploaded your resumé and cover letter, you will see a screen confirming it has been received successfully."
"Can i make changes, additions or deletions to my resumé once it is submitted?","Once you have submitted your resumé, you will not be able edit it, so please proofread it carefully."
Can i drop off my resumé in person or email it?,"No, please use our online application system to apply for an open competition."
I have international credentials. Is an evaluation required?,International education requires submission of credential evaluation for accurate assessment and rating. Credential evaluations can be obtained via an accredited agency such asworld education services (wes)orinternational credential assessment service (icas).
When will i know if i have been selected for an interview?,Competition timelines vary; there is no standard time period for notification. You will be contacted if you have been selected for an interview.
I have been invited to an interview. What can i expect?,"The interview process will vary depending on the position. Candidates may be asked to submit a video recording, and/or interview via zoom or in person. Interview questions are determined in advance and all applicants are asked the same questions. This format allows us to evaluate all candidates fairly. Interviews are structured and candidates can expect to answer behavioural and scenario-based questions. You may be asked to submit required documentation, complete an assessment, and/or prepare a brief"
I have been invited to an interview. What can i expect?,Presentation or teaching simulation.
How do i request an accommodation?,"Conestoga offers an inclusive work environment, and we encourage applications from all qualified individuals. If you have an accommodation request, we encourage you to contact our hr team confidentially athrrecruitment@conestogac.on.ca."
Do i have to register for convocation?,"Yes. You will receive an email from noreply@marchingorder.com on or after may 7, 2024 with instructions on how to register."
How do i get a gown for the ceremony?,"Graduates will register for their gown through marchingorder when they confirm their attendance.graduates will not be permitted to cross the stage without a gown. If you do not pre-order your gown, you will need to pay $5.00 at the ceremony to obtain one."
Where will the ceremony take place?,"Bingemans conference centreis located at 425 bingemans centre drive, kitchener, on, n2b 3x7.please note:there are many entrances to the bingemans property. Be sure to take the street directly across from waterloo brewing. Follow the street all the way down the hill to marshall hall."
When should i arrive?,"Graduates should arrive 90 minutes before their designated ceremony time. It is very important to allow travel time to arrive within the registration period. If you do not register on time, you will not be able to sit with your classmates or join the ceremony until after all graduates have crossed the stage."
What happens if i arrive late?,You will not be able to sit with your classmates or join the ceremony until all graduates have crossed the stage. Late grads will be seated in a separate room where they can watch the ceremony via tv.
What should i bring to convocation?,"Your one card or photo id is mandatory to receive your registration card and document. Coats, bags, or other items can be left at coat check or with your guests."
When do i receive my document?,You will receive your graduate document after you have crossed the stage. Any documents not picked up will be mailed immediately following the convocation ceremony. Make sure your address is always kept up to date on thestudent portal.
I am a graduate with a disability or special needs and will attend my ceremony. Who should i contact to make special arrangements?,"When you indicate your attendance on marchingorder, you will have an opportunity to specify that you require special accommodation.our venues are wheelchair accessible."
I have a guest attending with a disability or special needs. Who should i contact to make special arrangements?,"When you indicate your attendance on marchingorder, you will have an opportunity to specify if your guest requires special accommodation.our venues are wheelchair accessible."
How many guests can i bring?,"Seating is limited to two guests per graduate, with an opportunity to bring additional guests, pending availability, on a first-come first-served basis. You will be notified by email through marchingorder if a second release of tickets will be made available. The event will also be livestreamed for guests who are unable to attend in person."
Do i require tickets for my guests?,"Yes, each graduate can claim two tickets for guests. All guests require a ticket, including babies and children, in order to meet fire code regulations related to the maximum capacity allowed at the venue. Digital tickets can be claimed on marchingorder when you indicate your attendance. Any tickets not claimed by the specified deadline indicated on the marchingorder registration will be released, creating a second opportunity to add guests on a first-come first-served basis."
Can i bring my child to convocation?,Children are welcome at the ceremony but must always remain with guests who can care for them until the event is over. Graduates will be seated together in the front section of the hall and children will not be permitted to sit among them nor cross the stage.
I am graduating from two programs. Which convocation should i attend?,"Graduates can only cross the stage once per ceremony. When both programs are scheduled within the same ceremony, a graduate must choose one program with which they will cross the stage. Where programs are scheduled during two different ceremonies, graduates can choose to attend both."
What if i cannot attend the ceremony?,"Graduates are only permitted to attend their designated ceremony. Due to the planning, scheduling and software that is used during the ceremony, you cannot attend a different ceremony. Each ceremony islive streamed and recorded.any documents not picked up will be mailed immediately following the convocation ceremony. Make sure your address is always kept up to date on thestudent portal"
Is there a live stream available for family who cannot attend the ceremony?,"Yes, there is alive stream videoavailable."
Where can i get the convocation program?,The program is a digital book in pdf format and will be available on theconvocation home pagethe first day of convocation week.
Can i attend my ceremony if i have outstanding fees?,"Graduates who have outstanding fees can still participate in the ceremony, but will not receive their document until the fees are paid. You can check your financial record through the 'financial'tab in thestudent portal."
How long is the ceremony?,The ceremony will last approximately 1.5 to 2 hours and graduates are expected to remain for the duration of the ceremony.graduates and guests are invited to attend the reception immediately following the ceremony.
Are there any costs associated with the ceremony?,"If you are in a full-time program, there are no additional costs. The convocation fee is part of the tuition fees you have already paid. However, if you do not pre-order your gown, you will be charged a late fee of $5.00 at the ceremony to obtain a gown.if you are in a part-time ontario college certificate or diploma program, you are required to pay the application to graduate fee."
Do i need to apply to graduate?,"You do not need to apply to graduate if you are a full-time student finishing your final academic level.if you are in a part-time program, finishing your final course and wish to graduate, you must complete anapplication to graduateprior to the graduate status deadline. The form can be found in thestudent portal, under the ""services"" tab. Then select the ""my forms"" button.if your status isspecial timetable, you must advise your enrolment officer when you are nearing completion of your final course.note: if"
Do i need to apply to graduate?,"You are currently taking an ontariolearn course, please emailconvocationquestions@conestogac.on.ca. Final grades for these courses must be received by the graduate status deadline in order for you to be eligible to graduate in the upcoming ceremony.if you have additional questions, please emailconvocationquestions@conestogac.on.ca."
How will my award be recognized?,"Graduates who have achieved high distinction and president's honour list are denoted in the program. Graduates who have achieved conestoga honour list, distinction, high distinction and president's honour list will have their award displayed on screen during the ceremony as they cross the stage.visitacademic recognitionfor more information about our honours procedure and how your award is recognized."
Who should i contact if i have other questions?,"For more information, emailconvocationquestions@conestogac.on.ca."
